1,G Boycott,"Australia v England at Melbourne, 1970/71"
2,MC Cowdrey,"Australia v England at Melbourne, 1970/71"
3,BL D'Oliveira,"Australia v England at Melbourne, 1970/71"
4,JH Edrich,"Australia v England at Melbourne, 1970/71"
5,KWR Fletcher,"Australia v England at Melbourne, 1970/71"
6,JH Hampshire,"Australia v England at Melbourne, 1970/71"
7,R Illingworth,"Australia v England at Melbourne, 1970/71"
8,APE Knott,"Australia v England at Melbourne, 1970/71"
9,P Lever,"Australia v England at Melbourne, 1970/71"
10,K Shuttleworth,"Australia v England at Melbourne, 1970/71"
11,JA Snow,"Australia v England at Melbourne, 1970/71"
12,DL Amiss,"England v Australia at Manchester, 1972"
13,GG Arnold,"England v Australia at Manchester, 1972"
14,DB Close,"England v Australia at Manchester, 1972"
15,AW Greig,"England v Australia at Manchester, 1972"
16,RA Woolmer,"England v Australia at Manchester, 1972"
17,B Wood,"England v Australia at Birmingham, 1972"
18,FC Hayes,"England v New Zealand at Swansea, 1973"
19,GRJ Roope,"England v New Zealand at Swansea, 1973"
20,DL Underwood,"England v New Zealand at Swansea, 1973"
21,MH Denness,"England v West Indies at Leeds, 1973"
22,M Hendrick,"England v West Indies at Leeds, 1973"
23,CM Old,"England v West Indies at Leeds, 1973"
24,MJ Smith,"England v West Indies at Leeds, 1973"
25,RW Taylor,"England v West Indies at Leeds, 1973"
26,RGD Willis,"England v West Indies at Leeds, 1973"
27,JA Jameson,"England v West Indies at The Oval, 1973"
28,D Lloyd,"England v West Indies at The Oval, 1973"
29,RD Jackman,"England v India at Leeds, 1974"
30,BW Luckhurst,"Australia v England at Melbourne, 1974/75"
31,FJ Titmus,"New Zealand v England at Dunedin, 1974/75"
32,GD Barlow,"England v West Indies at Scarborough, 1976"
33,IT Botham,"England v West Indies at Scarborough, 1976"
34,GA Gooch,"England v West Indies at Scarborough, 1976"
35,JK Lever,"England v West Indies at Scarborough, 1976"
36,DS Steele,"England v West Indies at Scarborough, 1976"
37,DW Randall,"England v West Indies at Lord's, 1976"
38,JM Brearley,"England v Australia at Manchester, 1977"
39,P Willey,"England v Australia at Manchester, 1977"
40,G Miller,"England v Australia at The Oval, 1977"
41,PR Downton,"Pakistan v England at Sahiwal, 1977/78"
42,PH Edmonds,"Pakistan v England at Sahiwal, 1977/78"
43,MW Gatting,"Pakistan v England at Sahiwal, 1977/78"
44,BC Rose,"Pakistan v England at Sahiwal, 1977/78"
45,GA Cope,"Pakistan v England at Sialkot, 1977/78"
46,DI Gower,"England v Pakistan at Manchester, 1978"
47,CT Radley,"England v Pakistan at Manchester, 1978"
48,RW Tolchard,"Australia v England at Sydney, 1978/79"
49,DL Bairstow,"Australia v England at Melbourne, 1978/79"
50,W Larkins,"England v New Zealand at Manchester, 1979"
51,GR Dilley,"England v West Indies at Sydney, 1979/80"
52,JE Emburey,"Australia v England at Sydney, 1979/80"
53,GB Stevenson,"Australia v England at Sydney, 1979/80"
54,CJ Tavare,"England v West Indies at Leeds, 1980"
55,VJ Marks,"England v West Indies at Lord's, 1980"
56,CWJ Athey,"England v Australia at The Oval, 1980"
57,AR Butcher,"England v Australia at The Oval, 1980"
